order,sheet number ,date,local,species,nest,replicate nest,round,treatment,visit,age,band,nestlingID,colors,fledged,bill,tarsus,wingchord,mass,lesions,bknares,hg,hct1,hct2 ,hct,,,,,,
295,26,26-Mar-15,RIV,GAMO,132,2,1,W,3,11,DC537,132-L,BlBkWS,1,7.98,32.58,16.09,33.4,2,2,,BAD SPIN,,,,,,,,
192,17,16-Mar-15,Shire,GAMO,2,2,1,P,3,10,DC480,2-L,WGSBl,0,7.86,32.42,17.61,32.12,0,0,8.4,12.44,37.98,0.327540811,,,,,,
193,17,16-Mar-15,Shire,GAMO,2,2,1,P,3,10,DC482,2-B,YYSG,1,8.25,32.46,17.07,31.8,0,0,8.7,18.3,50.46,0.362663496,,,,,,
250,23,19-Mar-15,UR,GAMO,35,2,1,W,3,11,DC510,35-R,BkGySW,0,6.52,30.7,13.37,31.73,0,2,4.3,11.18,58.89,0.189845475,,,,,,
126,12,13-Mar-15,Gondor,GAMO,131,2,1,W,3,11,DC467,131-L,RGYS,0,7.22,30.42,15.39,31.63,0,2,6.7,14.82,57.2,0.259090909,,,,,,
302,26.5,27-Mar-15,gondor mesa,GAMO,138,2,1,P,3,8,DC543,138-L,WSBkGy,1,7.31,29.17,13.63,30.4,0,0,9.9,20.1,59.57,0.337418164,,,,,,
243,22,19-Mar-15,Rohan,GAMO,91,2,1,P,3,10,DC507,91-L,SYGyW,1,7.09,30.88,11.3,29.8,0,0,7.4,16.56,56.68,0.292166549,,,,,,
251,23,19-Mar-15,UR,GAMO,35,2,1,W,3,11,DC511,35-L,YGSBk,0,6.99,30.22,11.24,29.34,0,2,5.8,15.1,49.82,0.303091128,,,,,,
303,26.5,27-Mar-15,gondor mesa,GAMO,138,2,1,P,3,7,DC544,138-N,ROGS,1,7.19,28.64,12.46,28.7,0,0,9.3,14.37,44.81,0.320687347,,,,,,
228,21,19-Mar-15,Secret Gondor,GAMO,137,2,1,P,3,10,DC486,137-B,RBkBkS,1,6.86,28.86,13.47,28.6,0,0,8.7,18.89,57,0.331403509,,,,,,
239,22,19-Mar-15,Rohan,GAMO,129,2,1,W,3,10,DC503,129-L,RGyGyS,0,6.52,29.21,9.87,28,4,1,7.8,14.68,46.17,0.317955382,,,,,,
231,21,19-Mar-15,RIV,GAMO,95,2,1,P,3,10,DC487,95-R,BlSOR,1,6.39,27.7,11.12,27.8,0,0,10,16.31,47.79,0.341284788,,,,,,
227,21,19-Mar-15,Secret Gondor,GAMO,137,2,1,P,3,10,DC485,137-L,RSYY,1,6.14,28.42,13.84,26.1,0,0,8.6,19.66,64.28,0.305849409,,,,,,
135,12,13-Mar-15,UR,GAMO,98,2,1,W,3,10,DC465,98-L,YGSGy,0,7.53,2.32,14.36,25.93,0,1,,12.54,54.4,0.230514706,,,,,,
262,24,21-Mar-15,AZ,GAMO,24,2,1,P,3,10,DC522,24-N,BlSGBl,0,6.11,24.95,7.13,24.8,0,0,7.6,15.38,55.71,0.276072518,,,,,,
238,22,19-Mar-15,Rohan,GAMO,129,2,1,W,3,10,DC502,129-R,SBlGY,0,6.76,26.17,10.42,23.7,3,2,4.7,3.96,20.67,0.191582003,,,,,,
226,21,19-Mar-15,Secret Gondor,GAMO,137,2,1,P,3,10,DC484,137-R,SWOR,0,4.29,27.05,12.11,23.3,0,1,7.7,14.75,52.97,0.278459505,,,,,,
40,5,9-Mar-15,UR,GAMO,98,2,1,W,2,6,,98-B,,0,6.03,21.33,,22.41,0,2,5.2,15.44,58.42,0.26429305,,,,,,
274,25,21-Mar-15,RIV,GAMO,132,2,1,W,2,6,DC537,132-L,,1,5.04,21.77,3.27,22.4,0,2,5.8,10.57,45.6,0.231798246,,,,,,
39,5,9-Mar-15,UR,GAMO,98,2,1,W,2,6,DC465,98-L,,0,5.53,21.49,,22.37,0,2,,11.4,42.79,0.266417387,,,,,,
142,13,14-Mar-15,mordor,GAMO,52,2,1,P,2,6,DC504,52-R,,1,6.38,21.99,5.04,22.25,0,0,6.2,16.94,48.99,0.345784854,,,,,,
258,23,21-Mar-15,ROHAN,GAMO,53,2,1,W,3,10,DC518,53-R,GyOSR,0,7.38,27.27,10.56,22.2,0,2,9.2,20.48,60.57,0.338121182,,,,,,
42,5,9-Mar-15,UR,GAMO,98,2,1,W,2,6,,98-R,,0,5.78,20.17,,21.48,0,2,,16.96,63.41,0.267465699,,,,,,
88,9,11-Mar-15,Shire,GAMO,2,2,1,P,2,6,DC481,2-R,,0,5.44,18.41,3.02,20.51,,0,7, , ,,,,,,,
259,23,21-Mar-15,ROHAN,GAMO,53,2,1,W,3,10,DC519,53-L,BlYSR,0,6.38,27.07,9.27,20.5,0,2,6,12.02,49.01,0.24525607,,,,,,
30,4,8-Mar-15,Plot,GAMO,131,2,1,W,2,6,DC418,131-R,,1,5.46,19.09,3.61,19.94,0,2,5.7,13.54,54.57,0.248121679,,,,,,
144,13,14-Mar-15,mordor,GAMO,52,2,1,P,2,6,,52-N,,0,6.34,21.52,4.28,19.93,0,0,7.5,17.67,51.89,0.34052804,,,,,,
196,17,16-Mar-15,ROHAN,GAMO,53,2,1,W,2,5,DC518,53-R,,0,4.81,18.81,1.69,19.01,0,0,6.8,11.55,46.31,0.249406176,,,,,,
294,26,26-Mar-15,RIV,GAMO,132,2,1,W,3,11,DC536,132-R,YGySY,0,7.33,26.32,12.84,19,2,2,,13.74,56.16,0.24465812,,,,,,
184,16,16-Mar-15,UR,GAMO,103,2,1,P,2,5,,103-R,,0,4.41,15.71,1.44,18.17,0,0,7.1,14.75,52.09,0.283163755,,,,,,
273,24,21-Mar-15,Riv entrance,GAMO,132,2,1,W,2,6,DC536,132-R,,0,5.24,17.38,2.12,17.9,0,1,2.8,,,,,,,,,
89,9,11-Mar-15,Shire,GAMO,2,2,1,P,2,5,DC480,2-L,,0,5.19,17.97,2.41,17.53,,0,7.2, ,,,,,,,,
152,14,14-Mar-15,Gondor,GAMO,115,2,1,W,2,5,,115-R,,0,5.34,19.56,3.08,17.14,0,1,5.6,18.17,58.95,0.308227311,,,,,,
198,18,16-Mar-15,AZ,GAMO,24,2,1,P,2,6,DC520,24-R,,1,4.91,16.38,1.72,17.05,0,0,8.5,7.22,25.87,0.279087746,,,,,,
197,17,16-Mar-15,ROHAN,GAMO,53,2,1,W,2,5,DC519,53-L,,0,4.59,17.12,1.36,17.02,0,1,4,11.4,57.69,0.197607904,,,,,,
90,9,11-Mar-15,Shire,GAMO,2,2,1,P,2,5,DC482,2-B,,1,5.14,18.34,2.4,16.93,,0,8.4, ,,,,,,,,
164,15,14-Mar-15,UR,GAMO,35,2,1,W,2,6,DC510,35-R,,0,5.19,20.15,2.29,16.93,0,0,,,,,,,,,,
153,14,14-Mar-15,Gondor,GAMO,115,2,1,W,2,5,,115-L,,0,5.07,21.47,3.26,16.61,0,1,3.7,14.84,56.65,0.2619594,,,,,,
145,13,14-Mar-15,Rohan,GAMO,91,2,1,P,2,5,DC506,91-R,,0,4.89,17.72,2.36,16.5,0,0,6.2,18.17,54.6,0.332783883,,,,,,
199,18,16-Mar-15,AZ,GAMO,24,2,1,P,2,6,DC521,24-L,,1,4.81,17.56,1.54,16.34,0,0,8.7,14.09,46.09,0.305706227,,,,,,
160,14,14-Mar-15,RR,GAMO,109,2,1,W,2,6,,109-B,,0,5.2,19.62,4.42,16.18,0,2,,10.5,59.63,0.176085863,,,,,,
194,17,16-Mar-15,Shire,GAMO,108,2,1,W,2,5,,108-L,,0,4.54,17.35,0.81,15.65,1,0,6.3,16.3,57.12,0.285364146,,,,,,
158,14,14-Mar-15,RR,GAMO,95,2,1,P,2,5,DC487,95-R,,1,4.47,16.64,0.97,15.15,0,0,6.5,17.84,55.54,0.321209939,,,,,,
165,15,15-Mar-15,UR,GAMO,35,2,1,W,2,6,DC511,35-L,,0,4.76,18.14,2.26,14.82,0,2,,10.09,58.7,0.171890971,,,,,,
275,25,21-Mar-15,RIV,GAMO,132,2,1,W,2,5,,132-B,,0,4.76,16.14,1.51,14.8,0,1,4.9,10.61,50.49,0.210140622,,,,,,
287,26,24-Mar-15,gondor mesa,GAMO,138,2,1,P,2,5,DC543,138-L,,1,4.28,15.66,1.74,14.7,0,0,7.3,17.7,55.15,0.320942883,,,,,,
156,14,14-Mar-15,SRR',GAMO,137,2,1,P,2,5,DC486,137-B,,1,3.96,17.17,1.35,14.54,0,2,,7.67,27.31,0.280849506,,,,,,
146,13,14-Mar-15,Rohan,GAMO,91,2,1,P,2,5,DC507,91-L,,1,4.6,17.66,1.29,14.52,0,0,,6.19,20.2,0.306435644,,,,,,
143,13,14-Mar-15,mordor,GAMO,52,2,1,P,2,5,DC505,52-L,,1,4.79,18.13,1.94,14.37,0,0,6.5,18.05,53.11,0.339860667,,,,,,
141,13,14-Mar-15,rohan,GAMO,129,2,1,W,2,5,DC503,129-L,,0,4.55,16.82,1.76,13.59,0,0,3.2,8.1,49,0.165306122,,,,,,
155,14,14-Mar-15,SRR,GAMO,137,2,1,P,2,5,DC485,137-L,,1,2.54,17.03,1.27,13.54,0,2,7.1,6.37,22.89,0.278287462,,,,,,
140,13,14-Mar-15,Rohan,GAMO,129,2,1,W,2,5,DC502,129-R,,0,4.73,16.72,1.33,13.22,0,1,3.8,9.62,55.6,0.173021583,,,,,,
154,14,14-Mar-15,SRR,GAMO,137,2,1,P,2,5,DC484,137-R,,0,3.05,17.87,1.24,13.22,0,2,,4.78,16.45,0.290577508,,,,,,
41,5,9-Mar-15,UR,GAMO,98,2,1,W,2,5,,98-N,,0,4.42,14.81,,12.25,0,2,,,,,,,,,,
31,4,8-Mar-15,Plot,GAMO,131,2,1,W,2,6,DC467,131-L,,0,5.34,20.46,3.19,12.21,0,2,5.2,14.27,55.29,0.258093688,,,,,,
185,16,16-Mar-15,UR,GAMO,103,2,1,P,2,5,,103-L,,0,4.19,13.55,1.05,11.99,0,0,3.4,2.22,7.44,0.298387097,,,,,,
159,14,14-Mar-15,RR,GAMO,109,2,1,W,2,5,,109-R,,0,3.68,16.26,2.68,11.71,0,2,5.8,7.8,45.01,0.173294823,,,,,,
288,26,24-Mar-15,gondor mesa,GAMO,138,2,1,P,2,4,DC544,138-N,,1,4.01,14.09,1.06,11.2,0,0,6.4,3.38,13.66,0.247437775,,,,,,
186,17,16-Mar-15,UR,GAMO,103,2,1,P,2,4,,103-B,,0,4.03,13.18,0.66,8.78,0,0,6.3,4.21,18.2,0.231318681,,,,,,
200,18,16-Mar-15,AZ,GAMO,24,2,1,P,2,5,DC522,24-N,,0,3.64,10.44,,8.71,0,0,6.1,4.93,16.61,0.296809151,,,,,,
73,7,10-Mar-15,Mordor,GAMO,52,2,1,P,1,2,DC504,52-R,,1,3.6,9.76,,7.61,0,0,,,,,,,,,,
276,25,21-Mar-15,RIV,GAMO,132,2,1,W,2,5,,132-N,,0,3.64,12.41,0.81,7.6,0,2,4.4,4.77,26.45,0.180340265,,,,,,
132,12,13-Mar-15,Rohan,GAMO,53,2,1,W,1,2,DC518,53-R,,0,3.34,9.67,,7.23,0,0,,,,,,,,,,
268,24,21-Mar-15,Secret Gondor,GAMO,138,2,1,P,1,2,,138-R,,0,3.27,10.23,,7.1,0,1,,,,,,,,,,
122,11,13-Mar-15,Shire,GAMO,108,2,1,W,1,2,,108-L,,0,3.45,11.04,,7.09,0,0,,,,,,,,,,
13,2,5-Mar-15,UR,GAMO,98,2,1,W,1,2,DC465,98-L,,0,3.36,8.92,,6.93,0,1,,,,,,,,,,
12,2,5-Mar-15,UR,GAMO,98,2,1,W,1,2,,98-R,,0,3.61,9.18,,6.56,0,0,,,,,,,,,,
32,4,8-Mar-15,Plot,GAMO,131,2,1,W,2,5,,131-N,,0,4.05,13,0.76,6.5,0,2,4.6,,,,,,,,,
91,9,11-Mar-15,UR,GAMO,35,2,1,W,1,2,DC510,35-R,,0,3.27,8.75,,6.48,,1, , ,,,,,,,,
133,12,13-Mar-15,Rohan,GAMO,53,2,1,W,1,2,DC519,53-L,,0,3.03,10.15,,6.45,0,0,,,,,,,,,,
92,9,11-Mar-15,UR,GAMO,35,2,1,W,1,2,DC511,35-L,,0,3.57,8.94,,6.44,,2,, ,,,,,,,,
218,20,17-Mar-15,RIV,GAMO,132,2,1,W,1,2,DC537,132-L,,1,2.54,9.017,,6.43,0,2,,,,,,,,,,
157,14,14-Mar-15,SRR,GAMO,137,2,1,P,2,4,,137-N,,0,3.82,11.96,,6.39,0,0,,,,,,,,,,
51,6,10-Mar-15,Riv,GAMO,109,2,1,W,1,2,,109-B,,0,2.93,8.88,,6.38,0,2,,,,,,,,,,
75,8,10-Mar-15,Mordor,GAMO,52,2,1,P,1,2,,52-N,,0,3,8.93,,6.27,0,0,,,,,,,,,,
147,13,14-Mar-15,Rohan,GAMO,91,2,1,P,2,4,,91-N,,0,3.72,12.7,,6.05,0,0,,1.54,4.94,0.311740891,,,,,,
269,24,21-Mar-15,Secret Gondor,GAMO,138,2,1,P,1,2,DC543,138-L,,1,3,8.58,,6,0,0,,,,,,,,,,
14,2,5-Mar-15,UR,GAMO,98,2,1,W,1,2,,98-B,,0,3.05,9.62,,5.97,0,0,,,,,,,,,,
113,11,13-Mar-15,UR,GAMO,103,2,1,W,1,2,,103-R,,0,2.92,9.07,,5.97,0,0,,,,,,,,,,
6,1,4-Mar-15,Plot,GAMO,131,2,1,W,1,2,DC467,131-L,,0,3.14,8.68,,5.9,0,2,,,,,,,,,,
85,8,11-Mar-15,Riv,GAMO,95,2,1,P,1,2,DC487,95-R,,1,2.99,8.62,,5.87,0,2,,,,,,,,,,
121,11,13-Mar-15,Shire,GAMO,108,2,1,W,1,2,,108-R,,0,3.24,10.59,,5.82,0,0,,,,,,,,,,
123,11,13-Mar-15,Shire,GAMO,108,2,1,W,1,2,,108-B,,0,3.36,10,,5.65,0,2,,,,,,,,,,
130,12,13-Mar-15,AZ,GAMO,24,2,1,P,1,2,DC521,24-L,,1,2.97,8.7,,5.55,0,0,,,,,,,,,,
18,3,7-Mar-15,UR,GAMO,2,2,1,P,1,2,DC481,2-R,,0,2.67,8.1,,5.5,0,0,,,,,,,,,,
217,20,17-Mar-15,RIV,GAMO,132,2,1,W,1,2,DC536,132-R,,0,2.8194,8.89,,5.45,0,0,,,,,,,,,,
129,12,13-Mar-15,AZ,GAMO,24,2,1,P,1,2,DC520,24-R,,1,3.13,8.46,,5.4,0,2,,,,,,,,,,
5,1,4-Mar-15,Plot,GAMO,131,2,1,W,1,2,DC418,131-R,,1,3.19,8.53,,5.2,0,0,,,,,,,,,,
114,11,13-Mar-15,UR,GAMO,103,2,1,P,1,2,,103-L,,0,2.74,8.5,,5.05,0,0,,,,,,,,,,
71,7,10-Mar-15,Rohan,GAMO,129,2,1,W,1,1,DC503,129-L,,0,2.59,7.87,,4.92,0,1,,,,,,,,,,
49,5,10-Mar-15,Riv,GAMO,109,2,1,W,1,1,,109-R,,0,2.11,7.95,,4.88,0,2,,,,,,,,,,
70,7,10-Mar-15,Rohan,GAMO,129,2,1,W,1,1,DC502,129-R,,0,2.67,8.22,,4.75,0,0,,,,,,,,,,
68,7,10-Mar-15,Rohan,GAMO,91,2,1,P,1,1,DC506,91-R,,0,2.73,7.41,,4.63,0,0,,,,,,,,,,
270,24,21-Mar-15,Secret Gondor,GAMO,138,2,1,P,1,1,DC544,138-N,,1,2.61,8.83,,4.5,0,0,,,,,,,,,,
115,11,13-Mar-15,UR,GAMO,103,2,1,P,1,1,,103-B,,0,2.68,8.17,,4.39,0,0,,,,,,,,,,
52,6,10-Mar-15,Riv,GAMO,137,2,1,P,1,1,DC484,137-R,,0,2.45,7.24,,4.36,0,0,,,,,,,,,,
219,20,17-Mar-15,RIV,GAMO,132,2,1,W,1,1,,132-B,,0,2.2352,7.9756,,4.2,0,2,,,,,,,,,,
53,6,10-Mar-15,Riv,GAMO,137,2,1,P,1,1,DC485,137-L,,1,2.29,6.66,,4.12,0,0,,,,,,,,,,
74,7,10-Mar-15,Mordor,GAMO,52,2,1,P,1,1,DC505,52-L,,1,2.68,7.56,,4.07,0,0,,,,,,,,,,
188,17,16-Mar-15,UR,GAMO,117,2,1,P,1,1,,117-R,,0,2.74,8.21,,4.04,0,0,,,,,,,,,,
20,3,7-Mar-15,UR,GAMO,2,2,1,P,1,1,DC482,2-B,,1,2.71,7.94,,4.01,0,0,,,,,,,,,,
19,3,7-Mar-15,UR,GAMO,2,2,1,P,1,1,DC480,2-L,,0,2.79,7.85,,3.98,0,0,,,,,,,,,,
69,7,10-Mar-15,Rohan,GAMO,91,2,1,P,1,1,DC507,91-L,,1,2.65,8.04,,3.98,0,0,,,,,,,,,,
50,5,10-Mar-15,Riv,GAMO,109,2,1,W,1,1,,109-L,,0,2.86,8.28,,3.96,0,2,,,,,,,,,,
54,6,10-Mar-15,Riv,GAMO,137,2,1,P,1,1,DC486,137-B,,1,2.58,7.27,,3.96,0,0,,,,,,,,,,
220,20,17-Mar-15,RIV,GAMO,132,2,1,W,1,1,,132-N,,0,2.2352,7.4168,,3.6,0,0,,,,,,,,,,
131,12,13-Mar-15,AZ,GAMO,24,2,1,P,1,1,DC522,24-N,,0,2.45,7.58,,3.51,0,0,,,,,,,,,,
124,11,13-Mar-15,Shire,GAMO,108,2,1,W,1,1,,108-N,,0,2.71,8.18,,3.34,0,0,,,,,,,,,,
7,1,4-Mar-15,Plot,GAMO,131,2,1,W,1,1,,131-N,,0,2.69,7.74,,3.3,0,0,,,,,,,,,,
125,11,13-Mar-15,Gondor,GAMO,131,2,1,W,3,11,DC418,131-R,GBkSG,1,7.39,31.82,16.63,,0,2,8.1,18.59,55.94,0.332320343,,,,,,
187,17,16-Mar-15,UR,GAMO,103,2,1,P,2,4,,103-N,,0,2.84,8.71,,,0,0,,,,,,,,,,
561,47,4-May-15,Rohan,GAMO,91,2,2,P,3,11,DC615,91.2-L,GSBkW,1,8.07,36.33,20.83,44.6,0,0,10.3,20.08,64.68,0.310451453,,,,,,
560,47,4-May-15,Rohan,GAMO,91,2,2,P,3,11,DC614,91.2-R,ROSGy,1,8.17,34.37,20.25,43.13,0,0,10.7,22.96,38.38,0.598228244,,,,,,
474,39,25-Apr-15,UR,GAMO,103,2,2,P,3,11,DC575,103.2-R,SYOBk,1,8.55,34.75,21.02,42.02,0,0,8.3,19.23,56.21,0.342109945,,,,,,
473,39,25-Apr-15,UR,GAMO,103,2,2,P,3,11,DC574,103.2-L,GyWWS,1,8.94,34.8,20.51,41.18,0,0,10.2,,,,,,,,,
475,39,25-Apr-15,UR,GAMO,103,2,2,P,3,10,DC576,103.2-B,SRYY,1,8.43,32.37,15.2,40.96,,,7.1,20.26,67.84,0.298643868,,,,,,
476,39,25-Apr-15,UR,GAMO,103,2,2,P,3,10,DC577,103.2-N,SRGG,1,8.44,31.07,14.62,40.32,,,6.9,18.47,56.18,0.328764685,,,,,,
489,40,26-Apr-15,UR,GAMO,117,2,2,P,3,11,DC583,117.2-L,RYSGy,1,9.44,35.03,21.68,39.44,0,0,10.5,20.51,68.11,0.301130524,,,,,,
562,47,4-May-15,Rohan,GAMO,91,2,2,P,3,11,DC616,91.2-B,YSBlW,1,7.41,33.8,18.89,39.3,0,0,10.6,16.07,53.48,0.300486163,,,,,,
573,48,7-May-15,gondor mesa,GAMO,138,2,2,P,3,11,DC633,138.2-L,OGySY,1,33.04,18.21,38.6,38.6,0,0,11.1,4.79,14.02,0.341654779,,,,,,
563,47,4-May-15,Rohan,GAMO,91,2,2,P,3,10,DC617,91.2-N,WSRG,1,8.2,32.68,17.92,38.5,0,0,9.8,17,59.9,0.283806344,,,,,,
484,40,25-Apr-15,RIV ,GAMO,2,2,2,P,3,12,DC582,2.2-L,GWSG,1,8.95,33.73,24.45,38.29, ,,11.5,22.21,60.48,0.367228836,,,,,,
482,39,25-Apr-15,RIV ,GAMO,2,2,2,P,3,11,DC580,2.2-N,SGOO,1,8.77,33.87,20.62,38.25,0,0,10.1,16.74,45.85,0.365103599,,,,,,
481,39,25-Apr-15,RIV ,GAMO,2,2,2,P,3,12,DC579,2.2-R,SYBkBk,1,9.44,33.48,25.53,38.13,0,0,11.6,7.32,19.52,0.375,,,,,,
439,36,21-Apr-15,Plot,GAMO,131,2,2,W,3,10,DC568,131.2-B,BkBkRS,1,8.39,30.69,15.65,37.96,0,1,8.6,19.76,64.26,0.307500778,,,,,,
480,39,25-Apr-15,RIV ,GAMO,2,2,2,P,3,12,DC578,2.2-B,WRGyS,1,9.46,34.73,22.81,37.83,0,0,11.4,14.39,38.67,0.372123093,,,,,,
519,43,29-Apr-15,Rohan,GAMO,52,2,2,P,3,9,DC595,52.2-L,GyRSBk,1,8.61,32.53,15.88,37.58,0,0,9.7,3.24,9.67,0.335056877,,,,,,
438,36,21-Apr-15,Plot,GAMO,131,2,2,W,3,11,DC569,131.2-R,BlYBlS,1,8.7,32.97,19.3,37.57,0,2,6.4,11.82,47.8,0.247280335,,,,,,
538,45,30-Apr-15,gondor mesa,GAMO,137,2,2,P,3,9,DC612,137.2-N,SYGyR,1,7.37,31.9,13.7,35.2,0,0,10.1,20.21,64.2,0.314797508,,,,,,
491,40,26-Apr-15,UR,GAMO,117,2,2,P,3,11,DC585,117.2-B,BlRGS,1,9.14,34.53,20.43,35.16,0,0,9.5,22.97,68.4,0.335818713,,,,,,
